City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,81.68,broken clouds,42.6001,-73.9662,
12,Bengkulu,ID,76.01,scattered clouds,-3.8004,102.2655,
13,Thompson,CA,78.96,few clouds,55.7435,-97.8558,
22,Atuona,PF,77.22,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
25,Kumluca,TR,81.73,clear sky,36.3703,30.2869,Akkol Apart
29,Hasaki,JP,84.6,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
32,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
34,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,
36,Ascension,US,84.2,scattered clouds,30.2169,-90.9001,Highland Inn
37,Tautira,PF,77.32,light rain,-17.7333,-149.15,
39,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
41,Samarai,PG,78.67,overcast clouds,-10.6167,150.6667,
42,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
54,Onverwacht,SR,82.85,light rain,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
56,Kapaa,US,84.18,few clouds,22.0752,-159.319,
58,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,
59,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
61,Flin Flon,CA,75.04,overcast clouds,54.7682,-101.865,
63,Vung Tau,VN,78.82,overcast clouds,10.346,107.0843,Seaside Resort
64,Carutapera,BR,78.22,broken clouds,-1.195,-46.02,Lidera
65,Batticaloa,LK,79.5,overcast clouds,7.7102,81.6924,Grand Star Guest House
67,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,
77,Waingapu,ID,75.9,few clouds,-9.6567,120.2641,Pondok Wisata Elim
78,Jamestown,US,76.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Avera,US,81.91,overcast clouds,33.194,-82.5271,
90,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
92,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,
96,Labuhan,ID,76.82,broken clouds,-6.8844,112.2051,DoubleFAG
102,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
103,Leo,BF,76.73,overcast clouds,11.1,-2.1,
104,Kovur,IN,84.34,overcast clouds,14.4833,79.9833,
111,Bud,US,82.38,broken clouds,39.447,-86.1758,Ted McQuinn Trust
118,Guerrero Negro,MX,82.45,clear sky,27.9769,-114.0611,
122,Pokrovsk,UA,77.54,overcast clouds,48.282,37.1758,
131,Virginia Beach,US,80.62,thunderstorm,36.8529,-75.978,
132,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
141,Hithadhoo,MV,81.55,clear sky,-0.6,73.0833,Scoop Guest House
146,Grajau,BR,82.09,few clouds,-5.8194,-46.1386,Hotel Confiança
147,Manicore,BR,84.15,few clouds,-5.8092,-61.3003,Hotel Durval
163,Paris,FR,79.09,clear sky,48.8534,2.3488,
167,Ajdabiya,LY,78.75,clear sky,30.7554,20.2263,Almadina Hotel
168,Lompoc,US,76.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
180,Dhidhdhoo,MV,81.25,broken clouds,6.8833,73.1,
181,Aksay,RU,81.25,overcast clouds,47.26,39.87,
182,Tual,ID,79.92,broken clouds,-5.6667,132.75,
183,Zhangjiakou,CN,75.34,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
186,Maumere,ID,78.26,overcast clouds,-8.6199,122.2111,Sylvia Hotel
197,Hami,CN,83.89,scattered clouds,42.8,93.45,
