City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2022-08-11 22:16:11,broken clouds,42.6001,-73.9662,81.68,53,83,1.01
1,Krasnoselkup,RU,2022-08-11 22:26:52,overcast clouds,65.7,82.4667,47.82,73,98,4.45
2,Laguna,US,2022-08-11 22:20:09,clear sky,38.421,-121.4238,96.35,27,0,8.05
3,Patacamaya,BO,2022-08-11 22:26:52,clear sky,-17.2333,-67.9167,55.0,24,0,4.99
4,Vestmannaeyjar,IS,2022-08-11 22:26:52,overcast clouds,63.4427,-20.2734,51.46,94,100,13.67
5,Hayden,US,2022-08-11 22:26:45,haze,47.766,-116.7866,96.21,34,0,1.99
6,Ushuaia,AR,2022-08-11 22:26:53,scattered clouds,-54.8,-68.3,35.26,87,40,0.0
7,Punta Arenas,CL,2022-08-11 22:17:25,broken clouds,-53.15,-70.9167,35.71,69,75,10.36
8,Saskylakh,RU,2022-08-11 22:20:15,overcast clouds,71.9167,114.0833,43.66,69,100,7.09
9,Lampazos De Naranjo,MX,2022-08-11 22:26:53,scattered clouds,27.0167,-100.5167,100.31,26,46,15.26
10,Ravar,IR,2022-08-11 22:26:54,clear sky,31.2656,56.8055,74.08,22,0,7.92
11,Lebu,CL,2022-08-11 22:26:54,overcast clouds,-37.6167,-73.65,50.18,90,100,2.8
12,Bengkulu,ID,2022-08-11 22:26:55,scattered clouds,-3.8004,102.2655,76.01,91,40,3.65
13,Thompson,CA,2022-08-11 22:26:33,few clouds,55.7435,-97.8558,78.96,44,20,12.66
14,Polovinnoye,RU,2022-08-11 22:26:55,broken clouds,54.7914,65.9864,63.27,85,57,8.7
15,Poum,NC,2022-08-11 22:26:56,clear sky,-20.2333,164.0167,68.79,60,0,7.87
16,Koulamoutou,GA,2022-08-11 22:26:56,overcast clouds,-1.1303,12.4736,74.39,61,92,0.94
17,Perbal,HU,2022-08-11 22:26:56,broken clouds,47.5896,18.761,67.75,57,62,6.17
18,Lagoa,PT,2022-08-11 22:26:57,light rain,39.05,-27.9833,73.49,83,98,13.56
19,Cape Town,ZA,2022-08-11 22:20:08,broken clouds,-33.9258,18.4232,59.88,77,75,12.66
20,Mengen,DE,2022-08-11 22:26:57,broken clouds,48.0495,9.3301,69.84,75,60,6.22
21,Tuktoyaktuk,CA,2022-08-11 22:26:38,broken clouds,69.4541,-133.0374,55.4,82,75,12.66
22,Atuona,PF,2022-08-11 22:24:53,scattered clouds,-9.8,-139.0333,77.22,68,33,25.48
23,Mirnyy,RU,2022-08-11 22:26:58,overcast clouds,62.5353,113.9611,53.24,100,100,4.0
24,Koumac,NC,2022-08-11 22:26:58,clear sky,-20.5667,164.2833,69.78,53,0,6.02
25,Kumluca,TR,2022-08-11 22:26:59,clear sky,36.3703,30.2869,81.73,62,0,3.11
26,Kropotkin,RU,2022-08-11 22:26:59,overcast clouds,45.4375,40.5756,71.49,79,98,1.99
27,Vostok,RU,2022-08-11 22:26:59,broken clouds,46.4856,135.8833,59.79,95,69,3.02
28,Aykino,RU,2022-08-11 22:27:00,overcast clouds,62.2248,49.9922,58.06,72,100,7.38
29,Hasaki,JP,2022-08-11 22:26:37,few clouds,35.7333,140.8333,84.6,81,18,23.11
30,Port Alfred,ZA,2022-08-11 22:27:00,overcast clouds,-33.5906,26.891,62.44,80,92,4.0
31,Sao Joao Da Barra,BR,2022-08-11 22:27:01,overcast clouds,-21.6403,-41.0511,69.21,66,95,29.3
32,Denpasar,ID,2022-08-11 22:25:20,scattered clouds,-8.65,115.2167,78.46,94,40,9.22
33,Mataura,NZ,2022-08-11 22:20:00,few clouds,-46.1927,168.8643,38.46,70,19,2.82
34,Butaritari,KI,2022-08-11 22:15:20,overcast clouds,3.0707,172.7902,81.99,75,97,13.06
35,East London,ZA,2022-08-11 22:19:58,overcast clouds,-33.0153,27.9116,63.3,76,85,4.59
36,Ascension,US,2022-08-11 22:27:02,scattered clouds,30.2169,-90.9001,84.2,84,40,4.61
37,Tautira,PF,2022-08-11 22:27:02,light rain,-17.7333,-149.15,77.32,78,20,14.92
38,Concepcion Tutuapa,GT,2022-08-11 22:27:02,overcast clouds,15.2833,-91.7833,70.29,95,96,2.57
39,Port Blair,IN,2022-08-11 22:27:03,overcast clouds,11.6667,92.75,80.96,81,100,14.79
40,Khatanga,RU,2022-08-11 22:27:03,light rain,71.9667,102.5,44.62,71,100,7.02
41,Samarai,PG,2022-08-11 22:20:12,overcast clouds,-10.6167,150.6667,78.67,84,98,17.63
42,Puerto Ayora,EC,2022-08-11 22:20:09,overcast clouds,-0.7393,-90.3518,78.76,99,100,7.0
43,Ixtapa,MX,2022-08-11 22:26:39,broken clouds,20.7,-105.2,87.22,74,75,11.5
44,Saint-Philippe,RE,2022-08-11 22:27:43,scattered clouds,-21.3585,55.7679,64.22,70,31,12.5
45,Hobart,AU,2022-08-11 22:18:08,broken clouds,-42.8794,147.3294,44.26,93,75,3.44
46,New Norfolk,AU,2022-08-11 22:27:49,light rain,-42.7826,147.0587,44.71,86,98,1.74
47,Srednekolymsk,RU,2022-08-11 22:28:05,broken clouds,67.45,153.6833,65.5,73,82,7.11
48,Fort Nelson,CA,2022-08-11 22:28:05,broken clouds,58.8053,-122.7002,60.39,72,75,3.44
49,Iroquois Falls,CA,2022-08-11 22:28:06,scattered clouds,48.7669,-80.6831,67.53,38,30,9.84
50,Marienburg,PL,2022-08-11 22:28:06,clear sky,54.0359,19.0266,64.89,68,0,4.74
51,Tasiilaq,GL,2022-08-11 22:20:03,few clouds,65.6145,-37.6368,35.76,86,24,1.34
52,Baykit,RU,2022-08-11 22:28:07,scattered clouds,61.67,96.37,44.83,88,30,3.65
53,Busselton,AU,2022-08-11 22:20:11,clear sky,-33.65,115.3333,49.51,89,2,11.92
54,Onverwacht,SR,2022-08-11 22:28:07,light rain,5.5833,-55.1833,82.85,94,40,2.3
