City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Airai,TL,2022-08-11 21:40:30,-8.9266,125.4092,57.07,93,51,3.53
1,Namibe,AO,2022-08-11 21:40:31,-15.1961,12.1522,61.38,90,54,8.57
2,Santarem,BR,2022-08-11 21:40:31,-2.4431,-54.7083,87.93,70,20,8.05
3,Carnarvon,AU,2022-08-11 21:40:32,-24.8667,113.6333,58.78,34,0,15.77
4,Nizhneivkino,RU,2022-08-11 21:40:32,58.194,49.5214,54.64,85,81,6.02
5,Owando,CG,2022-08-11 21:40:32,-0.4819,15.8999,77.95,48,99,1.3
6,Pucallpa,PE,2022-08-11 21:37:14,-8.3791,-74.5539,86.04,54,40,4.61
7,Port Augusta,AU,2022-08-11 21:40:33,-32.5,137.7667,47.66,93,35,4.72
8,Poum,NC,2022-08-11 21:40:33,-20.2333,164.0167,68.79,60,0,7.87
9,Viransehir,TR,2022-08-11 21:40:34,37.2353,39.7631,82.22,57,0,8.1
10,Busselton,AU,2022-08-11 21:39:07,-33.65,115.3333,49.51,89,2,11.92
